Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,204,1,Mar 30,PHI,@,TEX,L7-11,GS-4,,99,3.2,4,5,5,2,4,1,0,12.27,6.26,17,72,48,14,5,4,7,4,1,0,35,,,0,0,0,15,1,0,0,0,0,0,.92,-0.272,.83,-0.15%,-2.99,2.65,8.00,1b start tie,4b --- 2 out tie
2,205,6,Apr 5,PHI,@,NYY,L2-4,GS-7,L(0-1),5,6.0,7,3,3,1,5,0,0,7.45,3.67,24,87,62,22,8,6,12,6,1,0,50,,,2,1,0,23,2,0,0,1,0,0,.88,0.032,.72,0.02%,0.74,12.70,28.00,1b start tie,7b 1-- 0 out d1
3,206,11,Apr 11,PHI,,MIA,L4-8,GS-6,L(0-2),5,5.2,9,4,4,0,6,1,0,7.04,3.58,26,100,70,18,11,7,13,7,2,0,41,,,1,0,0,26,2,1,0,0,0,1,.89,-0.112,.81,-0.06%,-1.33,11.35,23.00,1t start tie,6t 12- 2 out d4
4,207,16,Apr 16,PHI,@,CIN,W14-3,GS-6,W(1-2),4,6.0,5,3,2,3,4,0,0,5.91,3.54,26,98,62,12,13,6,13,5,1,0,53,,,0,0,0,21,2,0,0,1,2,1,.13,0.022,.09,0.01%,0.28,16.70,34.00,1b start a 9,6b 3 out a9
5,208,21,Apr 21,PHI,,COL,W4-3,GS-7,,4,7.0,4,3,3,3,3,1,0,5.40,4.03,25,94,61,18,8,7,12,7,2,0,57,,,0,1,1,22,0,0,0,2,0,0,.83,0.029,.59,0.01%,0.63,11.55,25.00,1t start tie,7t 3 out d1
6,209,27,Apr 28,PHI,@,HOU,W3-1,GS-8,W(2-2),6,8.0,3,1,1,0,6,1,0,4.46,3.89,27,107,72,20,11,8,13,3,0,0,78,,,0,0,0,27,0,0,0,0,0,0,1.14,0.452,1.03,0.24%,3.09,30.20,49.00,1b start a 1,8b 3 out a2
7,210,32,May 3,PHI,@,LAD,L6-10,GS-7,,4,6.1,7,4,4,0,5,1,1,4.64,3.93,27,98,64,22,8,9,12,4,0,0,48,,,1,0,0,26,2,1,0,0,0,0,1.07,0.081,1.01,0.05%,-0.18,11.45,22.00,1b start a 1,7b --3 1 out a2
8,211,36,May 9,PHI,,TOR,W8-4,GS-6,W(3-2),5,6.0,5,2,2,2,6,1,0,4.44,3.99,24,86,58,20,7,10,6,4,0,0,58,,,0,0,0,21,2,0,0,1,0,0,1.34,0.122,1.00,0.06%,1.11,21.30,40.00,1t start tie,6t 3 out a1
9,212,40,May 14,PHI,@,COL,L0-4,GS-7,L(3-3),4,7.0,6,4,4,1,4,1,0,4.53,4.05,28,102,65,14,10,8,15,4,2,0,52,,,1,1,0,27,1,0,0,0,0,1,.63,-0.090,.64,-0.05%,0.19,11.55,21.00,1b start tie,7b 3 out d4
10,213,45,May 20,PHI,,CHC,W12-3,GS-7,W(4-3),5,7.0,4,2,2,1,10,1,0,4.31,3.89,25,98,68,25,12,5,9,4,1,0,70,,,0,0,0,24,1,0,0,1,0,0,.30,0.104,.24,0.05%,1.63,32.75,55.00,1t start tie,7t 3 out a8
11,214,50,May 25,PHI,@,ATL,L5-8,GS-6,,4,6.0,8,5,5,2,7,3,0,4.59,4.29,28,98,66,11,19,8,11,6,0,0,41,,,2,0,0,25,1,0,0,0,1,0,1.04,-0.240,.97,-0.13%,-1.73,11.50,24.00,1b start tie,6b 3 out d1
12,215,55,May 31,PHI,@,NYM,L1-4,GS-6,L(4-4),5,6.0,4,4,4,3,5,1,0,4.70,4.37,25,103,65,17,11,4,13,3,6,0,50,,,0,0,0,22,0,0,0,0,0,0,.79,-0.198,.67,-0.10%,-0.91,11.30,21.00,1b start tie,6b 3 out d3
13,216,60,Jun 5,PHI,,DET,W8-3,GS-7,W(5-4),4,7.0,1,3,0,3,12,1,0,4.30,4.25,24,108,68,18,21,5,4,2,1,0,78,,,0,1,0,21,0,0,0,1,0,0,.67,0.190,.48,0.08%,0.63,41.35,67.00,1t start tie,7t 3 out a2
14,217,64,Jun 10,PHI,,LAD,L0-9,GS-7,L(5-5),4,6.1,7,6,6,2,7,1,0,4.60,4.23,28,102,69,19,16,5,14,5,3,0,40,,,1,0,0,26,1,0,0,0,0,0,.57,-0.127,.54,-0.07%,-1.30,10.85,22.00,1t start tie,7t 12- 1 out d4
15,218,69,Jun 15,PHI,@,ARI,W5-4,GS-7,W(6-5),4,6.2,6,4,4,1,9,1,0,4.66,4.14,27,104,72,21,16,10,7,1,1,0,54,,,1,0,0,26,1,0,0,0,0,0,1.31,-0.047,1.30,-0.03%,-0.84,24.80,41.00,1b start tie,7b 1-3 2 out a1
16,219,74,Jun 22,PHI,,ATL,L1-5,GS-6,,6,6.0,2,0,0,2,5,0,0,4.38,4.05,22,103,66,11,7,7,8,2,1,0,71,,,0,0,0,20,1,0,0,0,0,0,1.07,0.360,1.25,0.25%,3.11,21.10,37.00,1t start tie,6t 3 out tie
17,220,79,Jun 28,PHI,@,CHC,W8-5,GS-5,W(7-5),5,5.0,7,4,4,3,4,2,0,4.51,4.27,24,97,65,15,14,12,5,1,1,0,38,,,0,0,0,21,0,0,0,1,0,0,.83,0.028,.82,0.02%,-1.27,9.25,21.00,1b start tie,5b 3 out a4
18,221,84,Jul 4,PHI,@,TBR,W3-1,GS-8,W(8-5),5,7.1,5,1,1,1,12,1,0,4.30,4.13,29,104,77,23,12,9,7,2,2,0,75,,,2,0,0,28,0,0,0,0,0,0,1.39,0.437,1.29,0.24%,2.74,38.90,65.00,1b start tie,8b --- 1 out a2
19,222,89,Jul 9,PHI,@,MIA,L3-7,GS-6,L(8-6),4,6.0,8,5,4,0,6,3,0,4.39,4.31,26,91,66,19,8,6,14,7,0,0,44,,,0,0,0,26,1,0,0,1,0,1,.44,-0.210,.48,-0.14%,-1.79,12.70,24.00,1b start tie,6b 3 out d3
20,223,94,Jul 18,PHI,,MIL,W4-3,GS-8,W(9-6),8,7.1,4,3,2,0,6,0,0,4.27,4.16,27,98,71,17,17,13,8,3,1,0,66,,,2,0,0,27,1,0,0,0,0,1,1.00,0.111,1.06,0.07%,0.95,26.10,44.00,1t start tie,8t 1-3 1 out a2
21,224,99,Jul 23,PHI,@,CLE,W8-5,GS-7,,4,7.0,6,3,3,0,7,2,0,4.25,4.20,27,85,62,12,13,9,11,5,0,0,60,,,0,0,0,26,0,0,0,0,0,1,1.13,0.112,1.19,0.07%,0.47,20.15,37.00,1b start a 1,7b 3 out a1
22,225,104,Jul 29,PHI,@,PIT,L6-7,GS-5,L(9-7),5,4.2,9,7,5,3,6,1,0,4.43,4.24,26,98,62,22,13,4,13,5,1,0,25,,,0,0,0,23,3,1,0,0,0,0,1.51,-0.562,1.65,-0.37%,-4.62,5.30,17.00,1b start tie,5b 1-- 2 out d3
23,226,110,Aug 4,PHI,,KCR,L5-7,GS-6,L(9-8),5,5.1,8,5,5,1,8,2,0,4.58,4.29,24,100,64,14,15,2,13,6,0,0,39,,,1,1,1,23,2,0,0,0,0,0,1.06,-0.116,1.15,-0.08%,-0.82,12.60,25.00,1t start tie,6t 12- 1 out a1
24,227,116,Aug 10,PHI,,WSN,W6-2,GS-6,,5,5.0,5,1,1,1,6,0,0,4.49,4.20,22,105,72,21,12,6,9,6,1,0,58,,,1,0,0,21,1,0,0,0,0,1,1.13,0.102,1.00,0.06%,1.25,17.65,30.00,1t start tie,6t 1-3 0 out tie
25,228,121,Aug 16,PHI,@,TOR,W9-4,GS-5,W(10-8),5,5.0,4,4,4,4,7,1,0,4.58,4.24,22,92,57,13,9,5,6,3,0,0,46,,,2,0,0,18,0,0,0,0,0,0,1.09,-0.191,.98,-0.10%,-1.47,16.45,30.00,1b start tie,5b 3 out a1
26,229,125,Aug 21,PHI,,SFG,W10-4,GS-7,W(11-8),4,7.0,7,2,2,1,5,2,0,4.49,4.32,26,100,68,15,9,10,10,5,2,0,59,,,0,0,0,25,0,0,0,2,0,0,.79,0.140,.83,0.09%,1.63,20.95,40.00,1t start tie,7t 3 out a4
27,230,130,Aug 27,PHI,,STL,W3-0,GS-7,W(12-8),5,7.0,1,0,0,1,9,0,0,4.30,4.18,23,95,64,20,12,5,8,2,2,0,83,,,0,0,0,22,1,0,0,0,0,0,.92,0.431,.59,0.17%,3.63,36.55,58.00,1t start tie,7t 3 out a2
28,231,135,Sep 2,PHI,@,MIL,L5-7,GS-5,L(12-9),5,4.2,8,7,7,3,5,1,0,4.55,4.23,24,97,62,17,10,7,9,6,1,0,22,,,1,0,0,21,4,0,0,1,0,0,.88,-0.343,.49,-0.12%,-3.74,-0.10,8.00,1b start a 1,5b -2- 2 out d4
29,232,141,Sep 9,PHI,,MIA,W8-4,GS-5,,6,4.1,7,4,4,0,6,1,0,4.64,4.21,20,84,58,24,7,4,10,7,0,0,39,,,0,0,0,20,4,0,0,1,0,1,.79,-0.143,.44,-0.05%,-1.83,9.55,19.00,1t start tie,5t -23 1 out a2
30,233,147,Sep 15,PHI,@,STL,W5-4,GS-5,,5,4.2,7,3,2,1,1,0,0,4.62,4.19,23,97,61,13,5,16,5,1,0,0,40,,,2,0,0,21,0,0,0,1,1,2,1.14,-0.066,.77,-0.03%,-0.83,3.70,11.00,1b start a 4,5b 12- 2 out a1
31,234,152,Sep 20,PHI,@,ATL,W6-5,GS-6,,4,6.0,6,2,2,0,8,0,0,4.57,4.07,24,94,68,15,15,9,7,7,0,0,60,,,1,0,0,24,1,0,0,0,0,0,1.19,0.199,.54,0.05%,1.28,21.90,40.00,1b start a 1,6b 3 out a2
32,235,157,Sep 26,PHI,,PIT,W3-2,GS-7,,5,6.2,4,1,1,0,8,1,0,4.46,4.03,23,90,62,11,15,9,6,1,2,0,70,,,0,0,0,23,0,0,0,1,0,0,.99,0.288,.04,0.01%,2.40,26.60,45.00,1t start tie,7t 1-- 2 out a1
,,,,,,,19-13,,W-L:12-9,4.8,193.2,178,105,96,45,202,32,1,4.46,4.03,793,3087,67%,18%,12%,0.76,,25%,6%,0,53,,---%,21,5,2,741,35,3,0,15,4,10,.93,0.523,.80,0.06%,0.13,561.35,1031.00,,
