##	Player	GS	MIN	FG	3PT	FT	ORB-DRB	REB	PF	A	TO	BLK	STL	PTS
03	Turner III,Eddie	*	37	8-15	0-1	2-2	0-0	0	3	3	1	0	2	18
02	Walker,Brandon	*	24	4-5	1-1	4-5	1-2	3	1	2	4	0	0	13
20	Ford III,Robert	*	35	3-10	2-5	1-1	0-8	8	3	1	1	1	1	9
11	Patterson,Tyler	*	39	3-8	2-7	0-0	0-2	2	1	0	0	0	1	8
21	Goracke,Brian	*	36	2-5	0-1	4-5	1-3	4	3	1	1	0	0	8
25	Lecholat,Sam		18	2-5	1-2	4-4	2-2	4	4	0	1	0	0	9
15	Olmsted,John		1	1-1	0-0	0-0	0-0	0	0	0	0	0	0	2
24	Miller,Jed		1	1-1	0-0	0-0	0-0	0	0	1	1	0	1	2
23	Nduka,Chika		6	0-2	0-0	0-0	0-1	1	0	0	0	0	0	0
05	Geron,Jaden		3	0-0	0-0	0-0	0-0	0	0	0	0	1	0	0
TM	TEAM		0	0-0	0-0	0-0	1-3	4	0	0	0	0	0	0
TT  Totals	-	200	24-52	6-17	15-17	5-21	26	15	8	9	2	5	69
