##	Player	GS	MIN	FG	3PT	FT	ORB-DRB	REB	PF	A	TO	BLK	STL	PTS
11	Moody, Aanen	*	37	9-17	5-9	6-8	0-2	2	1	2	0	1	0	29
24	Thomas, Dischon	*	36	7-11	3-6	3-3	3-7	10	2	4	1	0	2	20
03	Vazquez, Josh	*	35	5-12	4-9	1-2	0-3	3	1	1	0	1	1	15
21	Oke, Laolu	*	26	3-4	0-0	4-4	8-4	12	3	2	2	1	1	10
12	Whitney, Brandon	*	33	4-11	0-0	1-1	1-1	2	3	7	2	0	2	9
05	Nap, Jaxon		16	1-3	1-3	0-0	0-3	3	1	2	0	0	0	3
02	Henderson, Chase		5	1-3	0-2	0-0	0-0	0	0	0	2	0	0	2
04	Williams, Giordan		5	0-3	0-1	0-0	1-0	1	1	0	0	0	0	0
32	Sawyer, Te'Jon		3	0-0	0-0	0-0	1-1	2	3	0	0	0	0	0
13	Reynolds, Rhett		1	0-0	0-0	0-0	0-0	0	0	0	0	0	0	0
22	Shoff, Adam		1	0-0	0-0	0-0	0-0	0	0	0	0	0	0	0
23	Dick, Connor		1	0-0	0-0	0-0	0-0	0	0	0	0	0	0	0
30	Bateman, Caden		1	0-0	0-0	0-0	0-0	0	0	0	0	0	0	0
TM	TEAM		0	0-0	0-0	0-0	1-3	4	0	0	1	0	0	0
TT  Totals	-	200	30-64	13-30	15-18	15-24	39	15	18	8	3	6	88

