Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,23,22,Apr 22,PHI,,COL,W4-3,GS-5,,99,4.1,5,3,3,2,5,0,0,6.23,2.33,20,73,46,16,6,6,7,5,0,0,44,,,0,0,0,18,2,0,0,0,0,0,1.27,-0.091,.92,-0.04%,-0.61,9.55,19.00,1t start tie,5t 1-3 1 out a1
2,24,71,Jun 17,PHI,@,OAK,W3-2,GS-4,,55,4.0,1,0,0,1,5,0,0,3.24,1.94,14,61,40,15,8,5,3,0,0,0,64,,,2,0,0,13,0,0,0,0,0,0,1.20,0.209,1.22,0.13%,1.88,17.80,27.00,1b start tie,4b 3 out tie
3,25,76,Jun 24,PHI,,NYM,L2-4,GS-6,L(0-1),6,5.0,5,3,3,0,4,1,0,4.05,2.81,19,75,52,14,5,6,9,5,0,0,49,,,0,0,0,19,0,1,0,1,0,0,.78,-0.022,.77,-0.01%,0.21,10.25,18.00,1t start tie,6t 1-- 0 out tie
4,26,81,Jun 30,PHI,,WSN,L1-2,GS-6,L(0-2),5,6.0,7,2,1,1,6,1,0,3.26,3.15,25,87,63,16,12,11,7,4,0,0,57,,,0,1,1,24,1,0,0,1,0,1,1.04,0.102,1.04,0.06%,1.11,18.70,37.00,1t start tie,6t 3 out d1
5,27,86,Jul 6,PHI,@,TBR,W3-1,GS-6,,5,6.0,4,1,1,0,2,1,0,2.84,3.53,21,75,51,11,8,13,6,3,0,0,62,,,1,0,0,21,0,0,0,0,0,0,1.07,0.201,1.05,0.12%,2.01,13.10,25.00,1b start tie,6b 3 out tie
6,28,90,Jul 14,PHI,,SDP,L3-8,GS-5,L(0-3),7,5.0,3,3,3,1,5,2,0,3.26,4.11,19,79,50,23,6,6,7,1,0,0,53,,,1,0,0,18,0,0,0,1,0,1,.75,-0.092,.77,-0.06%,-0.41,12.85,21.00,1t start tie,5t 3 out d2
7,29,95,Jul 19,PHI,,MIL,L3-5,GS-5,,4,5.0,6,3,1,1,3,0,0,3.06,3.91,22,86,60,16,7,10,8,4,0,0,49,,,0,0,0,21,2,0,0,1,0,1,.77,-0.096,.89,-0.07%,-0.41,11.05,21.00,1t start tie,5t 3 out d2
8,30,100,Jul 24,PHI,,BAL,L2-3,GS-7,,4,7.0,4,2,2,0,8,2,0,2.98,4.03,26,92,67,17,10,10,8,3,1,0,69,,,0,0,0,26,0,0,0,1,0,1,.88,0.102,.92,0.06%,1.63,25.35,43.00,1t start tie,7t 3 out d1
9,31,105,Jul 30,PHI,@,PIT,L4-6,GS-5,,5,5.0,0,0,0,2,3,0,3,2.66,4.14,18,73,46,19,3,8,2,0,1,0,68,,,0,0,0,13,0,0,0,2,0,0,1.03,0.288,1.12,0.19%,2.62,14.25,24.00,1b start tie,5b 3 out a2
10,32,111,Aug 5,PHI,,KCR,W9-6,GS-5,,5,5.0,6,6,6,1,7,2,0,3.44,4.34,22,86,56,18,11,9,5,1,0,0,37,,,2,0,0,21,0,1,0,0,0,0,.94,-0.423,.93,-0.25%,-3.41,9.05,18.00,1t start tie,5t 3 out d3
11,33,117,Aug 11,PHI,,MIN,W13-2,GS-6,W(1-3),5,6.0,6,2,2,3,5,2,0,3.39,4.66,25,107,67,20,11,11,6,4,0,0,54,,,0,0,0,22,1,0,0,2,0,0,.60,-0.019,.52,-0.01%,1.11,18.10,37.00,1t start tie,6t 3 out a7
