Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,113,39,May 13,PHI,@,COL,W7-4,GS-4,,99,4.0,7,3,3,1,4,0,0,6.75,2.01,20,72,44,8,9,6,9,7,0,0,39,,,0,0,0,18,5,0,0,0,1,0,1.08,-0.033,1.05,-0.02%,-0.60,6.20,15.00,1b start a 4,4b 3 out a1
2,114,44,May 19,PHI,,CHC,L1-10,GS-2,L(0-1),5,2.0,5,4,4,3,4,0,0,10.50,2.59,14,66,39,14,6,4,3,2,0,0,31,,,0,0,0,11,1,0,0,0,0,0,1.19,-0.300,1.02,-0.15%,-2.96,-0.30,6.00,1t start tie,2t 3 out d3
3,115,49,May 24,PHI,,ARI,W6-5,GS-5,,4,5.0,5,5,5,1,5,1,0,9.82,3.44,21,85,56,17,8,9,6,3,0,0,41,,,0,0,0,20,3,0,0,0,0,0,.73,-0.257,.59,-0.12%,-2.41,7.65,15.00,1t start tie,5t 3 out d5
4,116,54,May 30,PHI,@,NYM,L0-2,GS-7,L(0-2),5,6.2,5,2,2,2,4,1,0,7.13,3.99,26,99,60,20,7,11,9,4,0,0,58,,,1,0,0,23,0,0,0,1,0,0,.83,0.182,.79,0.10%,2.16,14.80,30.00,1b start tie,7b 12- 2 out d1
5,117,59,Jun 4,PHI,@,WSN,W11-3,GS-7,W(1-2),4,7.0,8,1,1,1,3,0,0,5.47,3.66,28,101,66,13,9,13,11,5,1,0,59,,,0,0,0,26,1,1,0,2,1,0,1.11,0.209,.78,0.09%,2.56,18.35,37.00,1b start tie,7b 3 out a7
6,118,63,Jun 9,PHI,,LAD,W5-4,GS-6,,4,6.0,4,1,1,2,8,0,0,4.70,3.26,24,103,64,20,13,6,8,6,0,0,66,,,0,0,0,22,2,0,0,0,0,0,.99,0.221,.91,0.12%,2.11,23.90,43.00,1t start tie,6t 3 out a3
7,119,68,Jun 14,PHI,@,ARI,W4-3,GS-7,,4,7.0,4,0,0,2,7,0,0,3.82,3.04,26,105,64,20,9,11,6,3,0,0,74,,,0,0,0,24,1,0,0,2,0,0,.98,0.408,.95,0.24%,3.67,26.15,46.00,1b start tie,7b 3 out a3
8,120,73,Jun 20,PHI,,ATL,L2-4,GS-6,,5,6.0,4,1,1,2,7,1,0,3.50,3.19,24,99,60,16,13,6,9,3,1,0,65,,,0,0,0,22,0,0,0,0,0,0,1.08,0.202,1.29,0.14%,2.11,21.90,40.00,1t start tie,6t 3 out tie
9,121,78,Jun 27,PHI,@,CHC,W5-1,GS-8,W(2-2),6,7.1,4,1,1,1,8,0,1,3.18,3.00,27,104,66,26,8,9,8,3,1,0,73,,,1,0,0,25,1,0,0,2,0,1,.70,0.293,.67,0.17%,3.41,30.90,53.00,1b start a 1,8b 12- 1 out a5
10,122,83,Jul 2,PHI,,WSN,L4-5,GS-6,L(2-3),4,5.1,7,5,5,3,5,2,0,3.67,3.47,25,93,55,15,5,6,11,7,1,0,36,,,0,0,0,22,1,0,0,1,0,0,.84,-0.311,.81,-0.18%,-2.82,6.00,16.00,1t start tie,6t 12- 1 out d2
11,123,88,Jul 8,PHI,@,MIA,L3-5,GS-6,L(2-4),5,5.2,8,4,3,4,4,1,0,3.77,3.72,28,92,55,14,8,11,9,2,0,0,39,,,1,1,0,23,0,0,0,0,1,1,1.28,-0.129,1.43,-0.09%,-1.03,7.55,20.00,1b start a 1,6b 1-- 2 out d1
12,124,91,Jul 15(1),PHI,,SDP,W6-4,GS-6,,6,6.0,6,3,3,3,3,1,0,3.84,3.92,25,97,59,20,7,11,8,2,1,0,48,,,0,1,0,22,0,0,0,0,0,0,.62,-0.083,.63,-0.05%,0.11,8.10,22.00,1t start tie,6t 3 out d3
13,125,97,Jul 21,PHI,@,CLE,L5-6,GS-5,L(2-5),5,5.0,8,4,4,2,5,0,0,4.07,3.82,25,94,61,14,10,12,6,5,1,0,38,,,2,0,0,22,2,0,0,0,0,0,.94,-0.195,.99,-0.12%,-1.52,7.25,18.00,1b start tie,5b 3 out d3
14,126,102,Jul 26,PHI,,BAL,W6-4,GS-7,,4,6.0,7,4,4,1,6,1,0,4.22,3.82,25,90,59,16,10,8,10,7,0,0,47,,,0,0,0,24,2,0,0,2,0,1,1.09,-0.075,1.16,-0.05%,-0.51,12.70,24.00,1t start tie,7t -2- 0 out a1
15,127,107,Aug 1,PHI,@,MIA,W3-1,GS-7,,5,6.1,10,1,1,2,3,0,0,4.01,3.78,28,81,59,15,7,16,7,5,0,0,50,,,0,0,0,25,2,0,0,2,0,0,1.23,0.140,1.58,0.11%,1.78,11.05,29.00,1b start tie,7b --3 1 out d1
16,128,114,Aug 8(2),PHI,,WSN,L4-5,GS-6,,6,5.2,6,2,2,2,5,1,0,3.96,3.85,25,95,60,17,11,8,10,6,0,0,52,,,1,0,0,23,0,0,0,0,0,0,.96,-0.020,.91,-0.01%,0.33,13.95,26.00,1t start tie,6t 123 2 out a2
17,129,119,Aug 13,PHI,,MIN,L0-3,GS-7,L(2-6),4,6.1,6,2,2,3,8,1,0,3.88,3.87,27,92,57,16,12,6,10,2,2,0,58,,,0,0,0,24,0,0,0,0,0,0,.88,0.072,.74,0.04%,1.36,20.85,41.00,1t start tie,7t --- 1 out d2
