Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,168,4,Apr 3,PHI,@,NYY,L1-8,GS-5,L(0-1),99,4.1,4,4,4,3,5,1,0,8.31,6.02,20,87,50,14,10,9,3,1,0,0,41,,,1,0,0,17,0,1,0,0,0,0,.88,-0.126,.68,-0.06%,-0.94,7.55,16.00,1b start tie,5b 1-- 1 out d2
2,169,9,Apr 9,PHI,,CIN,L4-6,GS-5,,5,4.2,3,2,2,5,5,0,0,6.00,5.14,21,105,64,18,9,8,3,2,0,0,50,,,0,1,0,16,1,0,0,0,0,0,1.15,-0.006,1.03,0.00%,0.15,11.70,23.00,1t start tie,5t 12- 2 out a2
3,170,14,Apr 14,PHI,@,CIN,W8-3,GS-6,W(1-1),4,6.0,4,1,1,2,4,0,0,4.20,4.26,24,98,58,17,10,10,8,2,2,0,62,,,1,0,0,22,1,0,0,0,0,0,.84,0.222,.64,0.10%,2.28,19.90,37.00,1b start a 1,6b 3 out a4
4,171,19,Apr 19,PHI,@,CHW,W5-2,GS-7,W(2-1),4,6.1,5,2,2,2,3,1,0,3.80,4.57,24,95,62,19,6,9,10,7,1,0,56,,,0,1,0,22,1,0,0,1,0,0,.90,0.070,.61,0.03%,0.75,16.05,32.00,1b start a 1,7b 12- 1 out a3
5,172,25,Apr 26,PHI,,SEA,W6-5,GS-4,,6,4.0,5,5,5,2,6,2,0,4.97,5.15,19,68,40,10,8,6,5,3,0,0,36,,,0,0,0,17,1,0,0,0,0,0,.80,-0.323,.67,-0.16%,-2.92,6.80,15.00,1t start tie,4t 3 out d2
6,173,30,May 1,PHI,@,LAD,L4-13,GS-4,L(2-2),4,3.1,8,8,8,3,6,3,0,6.91,6.19,21,82,52,16,11,3,9,4,1,0,15,,,0,0,0,18,0,0,0,0,0,0,.48,-0.347,.49,-0.21%,-6.39,-3.10,4.00,1b start tie,4b 1-- 1 out d7
7,174,35,May 7,PHI,,BOS,W6-1,GS-6,W(3-2),5,6.0,3,1,1,0,6,1,0,5.97,5.71,19,85,57,12,7,5,8,3,1,0,68,,,0,1,1,19,0,0,0,0,0,0,.80,0.256,.57,0.11%,2.11,25.70,43.00,1t start tie,6t 3 out a1
8,175,38,May 12,PHI,@,COL,W6-3,GS-7,,4,6.0,7,3,3,0,3,0,0,5.75,5.20,25,73,53,13,6,10,12,5,1,0,49,,,0,1,0,24,2,0,0,0,1,0,1.18,-0.002,1.07,0.00%,1.25,9.30,22.00,1b start tie,7b 1-3 0 out a2
9,176,43,May 17,PHI,@,SFG,L4-7,GS-1,,4,0.2,4,4,4,2,1,0,0,6.53,5.26,8,40,21,6,2,3,2,0,0,0,27,,,0,0,0,6,0,0,0,0,0,0,1.36,-0.313,1.26,-0.18%,-3.93,-8.10,-7.00,1b start tie,1b 12- 2 out d4
10,177,46,May 21,PHI,,CHC,W2-1,GS-6,,3,5.1,2,0,0,3,3,0,0,5.79,5.10,19,87,55,16,5,6,7,2,2,0,64,,,0,0,1,16,0,0,0,0,0,0,.87,0.282,.77,0.15%,2.57,15.00,25.00,1t start tie,6t 1-- 1 out tie
11,178,51,May 26,PHI,@,ATL,W6-4,GS-7,W(4-2),4,6.2,10,3,3,1,1,1,0,5.57,5.13,28,85,52,16,5,12,14,5,1,0,42,,,0,1,0,26,2,0,0,1,1,0,1.27,-0.024,1.11,-0.01%,0.29,8.40,24.00,1b start tie,7b 1-3 2 out a3
