Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,196,2,Apr 1,PHI,@,TEX,L3-16,GS-5,L(0-1),99,4.1,7,5,4,1,7,1,0,8.31,3.72,22,94,55,14,15,8,6,4,0,0,37,,,0,0,0,20,1,0,0,0,1,1,.79,-0.185,.72,-0.10%,-1.89,10.95,22.00,1b start tie,5b 1-- 1 out d1
2,197,7,Apr 7,PHI,,CIN,W5-2,GS-6,,5,5.1,5,2,2,3,5,0,0,5.59,3.36,22,92,59,22,7,3,11,4,4,0,52,,,0,1,0,19,3,0,0,1,0,0,1.27,-0.037,1.05,-0.02%,0.42,13.20,25.00,1t start tie,6t -2- 1 out tie
3,198,12,Apr 12,PHI,,MIA,L2-3,GS-6,,4,6.0,3,1,1,3,6,0,0,4.02,3.13,24,95,56,13,13,7,8,3,0,0,65,,,1,0,0,21,2,0,0,0,0,0,1.17,0.233,1.01,0.12%,2.11,19.90,37.00,1t start tie,6t 3 out a1
4,199,17,Apr 18(1),PHI,@,CHW,W7-4,GS-5,W(1-1),5,5.0,8,4,4,0,5,0,1,4.79,2.82,24,94,65,18,10,6,12,7,0,0,40,,,0,0,0,23,3,0,0,0,0,0,1.20,-0.029,.86,-0.01%,-1.37,11.85,24.00,1b start a 3,5b 3 out a1
5,200,23,Apr 23,PHI,,COL,W9-3,GS-6,W(2-1),4,6.0,3,3,3,3,11,0,1,4.73,2.54,25,111,75,16,23,2,8,5,0,0,62,,,0,0,0,20,0,0,0,0,1,0,1.37,0.011,1.08,0.01%,0.11,29.30,52.00,1t start tie,6t 3 out a1
6,201,28,Apr 29,PHI,@,HOU,W6-1,GS-6,W(3-1),5,6.0,3,0,0,1,7,0,1,3.86,2.43,23,104,69,14,11,8,6,3,2,0,72,,,1,0,0,21,1,0,0,0,0,0,.88,0.323,.83,0.18%,3.07,28.50,49.00,1b start tie,6b 3 out a4
7,202,33,May 5,PHI,,BOS,L3-5,GS-6,L(3-2),5,5.1,7,5,4,0,5,0,1,4.26,2.36,25,97,66,21,9,8,11,7,0,0,41,,,0,0,0,23,1,0,0,0,1,1,1.02,-0.239,.82,-0.12%,-1.58,9.20,19.00,1t start tie,6t -2- 1 out d1
8,203,37,May 10,PHI,,TOR,W2-1,GS-7,,4,7.0,3,1,1,1,7,1,0,3.80,2.54,25,107,69,19,12,8,9,3,3,0,73,,,0,0,0,24,1,0,0,0,0,0,.93,0.248,.77,0.12%,2.63,25.35,43.00,1t start tie,7t 3 out d1
9,204,42,May 16,PHI,@,SFG,L3-4,GS-6,L(3-3),5,6.0,9,4,4,1,8,0,0,4.06,2.37,28,101,64,13,18,6,13,4,1,0,45,,,0,0,0,27,1,0,0,0,0,0,.96,-0.206,.91,-0.12%,-0.95,15.50,30.00,1b start tie,6b 3 out d2
10,205,47,May 22,PHI,,ARI,L3-6,GS-6,L(3-4),5,6.0,8,4,3,1,3,2,0,4.11,2.87,27,108,72,15,11,10,13,5,2,0,44,,,0,0,0,26,1,0,0,0,0,0,.82,-0.170,.73,-0.09%,-0.89,8.10,22.00,1t start tie,6t 3 out d2
11,206,52,May 27,PHI,@,ATL,W2-1,GS-8,W(4-4),4,8.0,3,0,0,1,12,0,1,3.60,2.64,29,106,68,13,22,4,11,6,2,0,87,,,0,0,0,27,2,0,0,0,0,0,1.02,0.553,.93,0.30%,4.37,43.00,70.00,1b start tie,8b 3 out a2
12,207,57,Jun 2,PHI,@,WSN,L7-8,GS-4,,5,3.2,8,7,7,1,3,1,0,4.33,2.82,20,90,58,11,8,4,12,4,0,0,19,,,0,0,0,18,3,0,0,0,1,0,.59,-0.352,.38,-0.14%,-5.07,-5.15,-1.00,1b start tie,4b --- 2 out d6
13,208,62,Jun 8,PHI,,DET,W3-2,GS-8,,5,7.1,2,1,1,1,8,0,1,4.03,2.73,26,108,75,12,15,6,10,2,3,0,77,,,0,0,0,24,0,0,0,0,0,0,1.04,0.300,.81,0.14%,2.95,28.10,47.00,1t start tie,8t 1-3 1 out a1
14,209,67,Jun 13,PHI,@,ARI,W15-3,GS-6,W(5-4),4,6.0,4,1,1,1,7,0,0,3.84,2.63,23,101,64,16,12,7,8,2,3,0,66,,,0,0,0,22,3,0,0,0,0,0,.46,0.137,.40,0.07%,2.15,26.50,46.00,1b start a 4,6b 3 out a6
15,210,72,Jun 18,PHI,@,OAK,W3-2,GS-6,W(6-4),4,6.0,6,0,0,2,4,0,0,3.58,2.65,25,107,67,14,7,7,12,6,2,0,62,,,1,0,0,23,1,0,0,1,0,0,1.21,0.360,1.24,0.22%,2.82,20.70,40.00,1b start a 1,6b 3 out a2
16,211,77,Jun 25,PHI,,NYM,W7-6,GS-6,,6,5.1,9,5,5,2,8,1,1,3.86,2.75,28,107,70,15,18,7,10,4,2,0,36,,,0,0,0,25,0,0,0,0,0,0,1.21,-0.289,1.15,-0.17%,-2.09,10.80,25.00,1t start tie,6t 1-3 1 out d1
17,212,82,Jul 1,PHI,,WSN,W19-4,GS-5,W(7-4),5,5.0,7,4,4,0,6,1,0,4.03,2.79,22,85,55,11,7,10,6,4,0,0,43,,,0,0,0,22,1,1,0,0,0,0,.41,0.058,.39,0.03%,-1.41,15.05,27.00,1t start tie,5t 3 out a7
18,213,87,Jul 7,PHI,@,MIA,W4-3,GS-6,,5,6.0,7,3,3,0,7,1,0,4.05,2.80,25,101,70,15,14,11,7,3,1,0,53,,,0,0,0,25,2,0,0,0,0,0,.68,-0.063,.78,-0.04%,0.22,17.30,34.00,1b start tie,6b 3 out d2
19,214,93,Jul 16,PHI,,SDP,W7-6,GS-7,,8,7.0,5,3,3,0,7,2,0,4.04,2.94,26,101,67,16,11,8,11,2,2,0,62,,,0,0,0,26,3,0,0,1,0,1,.77,0.033,.79,0.02%,0.63,20.75,37.00,1t start tie,7t 3 out a2
20,215,98,Jul 22,PHI,@,CLE,L0-1,GS-7,L(7-5),5,7.0,5,1,1,1,8,0,0,3.88,2.85,26,109,77,14,13,2,15,8,3,0,70,,,0,1,0,25,0,0,0,0,0,0,.88,0.200,.90,0.12%,2.47,26.15,46.00,1b start tie,7b 3 out d1
21,216,103,Jul 28,PHI,@,PIT,W2-1,GS-7,W(8-5),5,6.2,3,1,1,1,11,0,0,3.74,2.72,24,87,54,14,13,3,9,4,2,0,74,,,0,0,0,23,1,0,0,0,0,0,1.15,0.332,1.26,0.22%,2.43,36.60,60.00,1b start tie,7b 1-- 2 out a1
22,217,108,Aug 2,PHI,@,MIA,L8-9,GS-6,,4,6.0,5,2,2,1,4,2,1,3.71,2.93,25,98,62,13,12,11,8,4,0,0,57,,,0,0,0,23,0,0,0,0,0,0,.90,0.241,1.09,0.18%,1.22,13.30,28.00,1b start tie,6b 3 out a3
23,218,113,Aug 8(1),PHI,,WSN,W8-4,GS-6,W(9-5),5,6.0,7,3,3,0,6,2,0,3.74,3.04,26,95,65,21,6,6,14,5,1,0,52,,,0,0,0,26,1,0,0,0,0,1,.82,-0.001,.84,0.00%,0.11,19.30,37.00,1t start tie,6t 3 out a3
24,219,120,Aug 15,PHI,@,TOR,L1-2,GS-7,,6,7.0,3,1,1,4,5,0,0,3.63,3.07,26,107,69,12,14,8,9,1,3,0,68,,,0,1,0,22,0,0,0,1,0,0,1.26,0.263,1.08,0.14%,2.54,19.55,37.00,1b start tie,7b 3 out tie
25,220,124,Aug 20,PHI,@,WSN,L3-4,GS-7,L(9-6),4,7.0,7,4,4,1,5,0,0,3.70,3.03,28,99,64,10,14,11,11,7,2,0,51,,,0,0,0,27,1,0,0,1,0,0,.43,-0.214,.33,-0.10%,-0.44,12.95,24.00,1b start tie,7b 3 out d4
26,221,129,Aug 26,PHI,,STL,W12-1,GS-8,W(10-6),5,7.0,3,1,1,0,10,1,0,3.59,3.00,24,80,60,7,21,8,6,0,1,0,77,,,0,0,0,24,0,0,0,0,0,0,.64,0.241,.49,0.11%,2.25,35.95,58.00,1t start tie,8t 1-- 0 out a11
27,222,134,Sep 1,PHI,@,MIL,L5-7,GS-6,,5,6.0,5,3,3,0,10,1,0,3.62,2.96,23,102,68,12,15,7,6,1,0,0,60,,,0,0,0,23,0,0,0,0,0,0,.84,-0.090,.37,-0.02%,0.11,24.50,43.00,1b start a 1,6b 3 out d2
28,223,139,Sep 6,PHI,@,SDP,W5-1,GS-6,W(11-6),4,6.0,1,0,0,2,7,0,0,3.49,2.93,21,105,66,16,18,6,6,0,1,0,75,,,0,0,0,19,0,0,0,0,0,0,.66,0.265,.33,0.08%,2.99,29.70,49.00,1b start a 1,6b 3 out a5
29,224,145,Sep 12,PHI,,ATL,L6-7,GS-5,,5,5.0,7,6,6,3,4,3,0,3.70,3.16,25,96,61,9,13,7,11,4,1,0,30,,,0,0,0,22,1,0,0,0,0,0,.86,-0.328,.49,-0.11%,-3.41,1.25,9.00,1t start tie,5t 3 out d5
30,225,150,Sep 18,PHI,@,ATL,W7-1,GS-6,W(12-6),5,6.0,3,1,1,2,5,1,0,3.63,3.22,23,99,60,11,16,6,10,3,3,0,65,,,0,0,0,21,1,0,0,0,0,0,.65,0.194,.33,0.06%,2.28,22.50,40.00,1b start tie,6b 3 out a6
31,226,155,Sep 23,PHI,,NYM,W7-5,GS-7,W(13-6),4,7.0,8,5,3,1,6,0,1,3.64,3.19,30,99,71,16,14,8,14,4,3,0,50,,,0,1,0,27,0,1,0,1,1,0,1.14,-0.039,.08,0.00%,-1.37,19.75,40.00,1t start tie,7t 3 out a1
